"MatchId";"Team";"Min";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Opponent";"Local"
139;"Panathinaikos OPAP Athens";200;75;11;25;36;12;3;13;3;2;20;12;67;18;34;9;31;12;13;"Real Madrid";1
14;"Zenit St Petersburg";200;63;12;21;33;20;7;18;2;1;19;20;71;13;28;8;26;13;16;"FC Barcelona";1
140;"LDLC ASVEL Villeurbanne";200;92;9;19;28;20;10;10;2;0;21;22;112;24;33;9;26;17;22;"Khimki Moscow Region";1
141;"Zenit St Petersburg";200;58;11;17;28;13;8;11;6;3;17;23;62;9;28;9;30;13;16;"Crvena Zvezda mts Belgrade";1
142;"Fenerbahce Beko Istanbul";225;98;10;21;31;16;9;12;2;1;26;24;104;20;37;12;31;22;23;"Valencia Basket";1
143;"FC Bayern Munich";200;73;11;17;28;16;1;20;3;4;20;19;67;10;25;13;26;14;15;"Zalgiris Kaunas";1
144;"FC Barcelona";200;90;11;27;38;16;6;13;2;4;18;21;100;21;42;11;28;15;15;"Olympiacos Piraeus";1
145;"Crvena Zvezda mts Belgrade";200;93;9;28;37;21;8;11;6;1;20;20;122;27;43;6;15;21;27;"FC Bayern Munich";1
146;"Zalgiris Kaunas";200;73;14;25;39;11;6;14;5;4;19;30;84;14;37;7;21;24;30;"Maccabi FOX Tel Aviv";1
147;"Olympiacos Piraeus";200;87;9;20;29;23;5;13;1;0;19;20;106;22;32;8;20;19;24;"Fenerbahce Beko Istanbul";1
148;"KIROLBET Baskonia Vitoria-Gasteiz";200;76;6;20;26;15;11;13;2;2;21;18;77;12;28;16;33;4;6;"FC Barcelona";1
149;"CSKA Moscow";225;102;15;31;46;19;2;13;2;4;23;19;97;22;42;15;40;13;21;"Panathinaikos OPAP Athens";1
15;"Khimki Moscow Region";200;79;10;28;38;17;4;14;7;4;26;21;86;22;38;5;24;20;21;"KIROLBET Baskonia Vitoria-Gasteiz";1
150;"Anadolu Efes Istanbul";200;101;13;18;31;15;7;8;4;0;17;25;126;19;34;16;30;15;18;"Khimki Moscow Region";1
151;"LDLC ASVEL Villeurbanne";200;77;16;24;40;15;8;10;2;7;24;16;66;16;47;11;27;12;16;"Real Madrid";1
152;"AX Armani Exchange Milan";200;73;10;26;36;10;4;14;1;2;20;23;75;16;33;6;21;23;27;"Zenit St Petersburg";1
153;"Valencia Basket";200;91;15;16;31;21;10;13;1;1;13;20;114;22;40;10;24;17;18;"ALBA Berlin";1
154;"ALBA Berlin";200;89;16;22;38;22;8;10;4;3;18;23;106;24;44;7;28;20;26;"Maccabi FOX Tel Aviv";1
155;"AX Armani Exchange Milan";200;96;14;23;37;17;5;11;3;4;17;19;104;20;41;14;30;14;18;"Panathinaikos OPAP Athens";1
156;"KIROLBET Baskonia Vitoria-Gasteiz";200;65;11;16;27;15;9;18;4;1;19;19;67;18;32;6;22;11;15;"Fenerbahce Beko Istanbul";1
157;"Real Madrid";200;88;6;25;31;20;3;15;4;3;15;17;107;18;27;13;26;13;14;"Zalgiris Kaunas";1
158;"Khimki Moscow Region";200;81;8;21;29;18;11;14;2;2;23;20;85;17;29;11;32;14;18;"Zenit St Petersburg";1
159;"FC Bayern Munich";200;77;11;22;33;19;7;11;0;7;24;17;68;18;41;11;27;8;12;"CSKA Moscow";1
16;"Anadolu Efes Istanbul";225;106;7;22;29;28;5;6;3;2;19;21;130;27;48;11;20;19;24;"ALBA Berlin";1
160;"LDLC ASVEL Villeurbanne";200;80;10;19;29;14;5;11;4;3;26;24;78;21;36;6;23;20;26;"Crvena Zvezda mts Belgrade";1
161;"FC Barcelona";200;82;10;21;31;24;8;11;6;3;23;19;89;16;33;12;32;14;21;"Anadolu Efes Istanbul";1
162;"Valencia Basket";200;91;12;29;41;9;3;9;2;2;19;28;102;17;34;10;28;27;34;"Olympiacos Piraeus";1
163;"CSKA Moscow";200;60;12;32;44;6;8;16;3;6;23;21;58;15;39;5;20;15;15;"Real Madrid";1
164;"Khimki Moscow Region";200;75;9;19;28;15;7;11;0;0;16;12;77;22;32;8;30;7;8;"Valencia Basket";1
165;"Anadolu Efes Istanbul";200;88;4;31;35;19;7;7;4;2;18;17;112;21;35;12;29;10;10;"AX Armani Exchange Milan";1
166;"Fenerbahce Beko Istanbul";200;86;9;26;35;21;9;14;2;3;21;26;109;21;41;9;19;17;19;"LDLC ASVEL Villeurbanne";1
167;"Olympiacos Piraeus";200;86;5;20;25;22;3;12;1;2;21;20;96;29;39;5;18;13;16;"ALBA Berlin";1
168;"Maccabi FOX Tel Aviv";200;92;10;23;33;19;10;13;0;2;26;23;96;18;38;14;28;14;20;"FC Barcelona";1
169;"Zenit St Petersburg";200;72;8;20;28;18;8;21;3;2;19;20;80;24;31;3;17;15;21;"KIROLBET Baskonia Vitoria-Gasteiz";1
17;"Olympiacos Piraeus";200;89;13;23;36;17;13;15;3;0;17;21;116;23;41;9;19;16;19;"Valencia Basket";1
170;"Crvena Zvezda mts Belgrade";200;70;13;21;34;17;6;7;4;1;20;20;77;19;37;7;28;11;18;"Zalgiris Kaunas";1
171;"Panathinaikos OPAP Athens";200;98;20;23;43;24;3;10;5;1;18;20;123;30;47;6;24;20;26;"FC Bayern Munich";1
172;"Khimki Moscow Region";200;102;8;20;28;29;9;13;1;2;26;19;121;22;33;15;27;13;16;"Real Madrid";1
173;"Fenerbahce Beko Istanbul";200;74;10;24;34;18;3;17;3;2;27;21;72;15;26;8;26;20;26;"FC Barcelona";1
174;"Maccabi FOX Tel Aviv";200;69;8;31;39;13;7;10;2;5;20;23;71;16;35;9;26;10;21;"AX Armani Exchange Milan";1
175;"CSKA Moscow";200;94;14;19;33;18;6;10;3;3;21;22;105;15;33;13;27;25;30;"KIROLBET Baskonia Vitoria-Gasteiz";1
176;"Zenit St Petersburg";200;81;18;13;31;13;8;10;1;3;19;16;79;24;41;9;31;6;6;"Valencia Basket";1
177;"Anadolu Efes Istanbul";200;101;9;25;34;23;4;7;1;2;14;15;125;21;37;16;30;11;11;"LDLC ASVEL Villeurbanne";1
178;"Crvena Zvezda mts Belgrade";225;85;13;21;34;12;12;17;2;3;23;20;83;20;38;10;28;15;18;"ALBA Berlin";1
179;"Olympiacos Piraeus";200;89;13;23;36;21;9;11;2;1;15;19;113;18;30;13;32;14;19;"FC Bayern Munich";1
18;"AX Armani Exchange Milan";200;85;10;16;26;14;5;14;5;0;21;23;96;22;39;7;14;20;23;"Zalgiris Kaunas";1
180;"Panathinaikos OPAP Athens";200;96;12;18;30;22;6;14;0;1;23;22;104;23;42;11;24;17;19;"Zalgiris Kaunas";1
181;"CSKA Moscow";200;81;8;24;32;22;7;11;2;0;17;18;99;14;38;14;22;11;14;"Valencia Basket";1
182;"Zenit St Petersburg";200;91;13;18;31;23;9;11;2;2;19;26;114;23;37;8;22;21;29;"Olympiacos Piraeus";1
183;"FC Bayern Munich";200;80;12;28;40;15;6;17;2;2;17;19;93;15;35;10;21;20;22;"Maccabi FOX Tel Aviv";1
184;"FC Barcelona";200;86;11;21;32;18;9;13;2;1;19;17;98;24;39;9;23;11;15;"Crvena Zvezda mts Belgrade";1
185;"KIROLBET Baskonia Vitoria-Gasteiz";200;83;16;26;42;14;10;15;3;1;18;30;106;21;41;4;17;29;38;"Khimki Moscow Region";1
