"MatchId";"Opponent";"Team";"Min.x";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Local";"Min.y";"Pts_Opp";"O_Opp";"D_Opp";"T_Opp";"As_Opp";"St_Opp";"To_Opp";"Fv_Opp";"Ag_Opp";"Cm_Opp";"Rv_Opp";"PIR_Opp";"x2M_Opp";"x2A_Opp";"x3M_Opp";"x3A_Opp";"FTM_Opp";"FTA_Opp";"Poss";"Off_Rat";"Def_Rat";"eFG";"eFG_Opp";"TS";"TS_Opp";"Off_Reb";"Def_Reb";"Pct_ass";"Pct_ass_opp";"Pct_To";"Pct_To_opp";"FTR";"FTR_opp";"Win";"Expected_Wins";"Off_Reb_Opp"
104;"LDLC ASVEL Villeurbanne";"Zenit St Petersburg";200;75;6;24;30;21;7;11;3;1;17;23;95;17;33;10;20;11;20;1;200;70;12;25;37;19;3;11;1;3;23;17;71;22;44;5;21;11;12;66;1,13636363636364;1,06060606060606;0,60377358490566;0,453846153846154;1,21359223300971;0,99601593625498;0,193548387096774;0,666666666666667;0,318181818181818;0,287878787878788;0,166666666666667;0,166666666666667;0,207547169811321;0,169230769230769;1;0,724301567089785;0,333333333333333
104;"Zenit St Petersburg";"LDLC ASVEL Villeurbanne";200;70;12;25;37;19;3;11;1;3;23;17;71;22;44;5;21;11;12;0;200;75;6;24;30;21;7;11;3;1;17;23;95;17;33;10;20;11;20;68,8;1,01744186046512;1,09011627906977;0,453846153846154;0,60377358490566;0,99601593625498;1,21359223300971;0,333333333333333;0,806451612903226;0,276162790697674;0,305232558139535;0,159883720930233;0,159883720930233;0,169230769230769;0,207547169811321;0;0,275698432910216;0,193548387096774
105;"FC Barcelona";"Khimki Moscow Region";200;94;6;18;24;23;8;12;5;2;24;17;102;21;34;12;29;16;17;1;200;102;11;23;34;24;5;13;2;5;17;24;122;24;43;12;22;18;23;75,8;1,2401055408971;1,34564643799472;0,619047619047619;0,646153846153846;1,33371169125993;1,35782747603834;0,206896551724138;0,620689655172414;0,303430079155673;0,316622691292876;0,158311345646438;0,171503957783641;0,253968253968254;0,276923076923077;0;0,24167972305352;0,379310344827586
105;"Khimki Moscow Region";"FC Barcelona";200;102;11;23;34;24;5;13;2;5;17;24;122;24;43;12;22;18;23;0;200;94;6;18;24;23;8;12;5;2;24;17;102;21;34;12;29;16;17;76,2;1,33858267716535;1,23359580052493;0,646153846153846;0,619047619047619;1,35782747603834;1,33371169125993;0,379310344827586;0,793103448275862;0,31496062992126;0,301837270341207;0,170603674540682;0,15748031496063;0,276923076923077;0,253968253968254;1;0,75832027694648;0,206896551724138
106;"ALBA Berlin";"Fenerbahce Beko Istanbul";225;107;9;24;33;23;5;16;1;1;25;28;123;23;37;11;26;28;31;1;225;102;11;22;33;23;8;13;1;1;28;25;110;19;38;14;29;22;28;82,4;1,29854368932039;1,2378640776699;0,626984126984127;0,597014925373134;1,39613778705637;1,28593040847201;0,290322580645161;0,685714285714286;0,279126213592233;0,279126213592233;0,194174757281553;0,157766990291262;0,444444444444444;0,328358208955224;1;0,661499642914737;0,314285714285714
106;"Fenerbahce Beko Istanbul";"ALBA Berlin";225;102;11;22;33;23;8;13;1;1;28;25;110;19;38;14;29;22;28;0;225;107;9;24;33;23;5;16;1;1;25;28;123;23;37;11;26;28;31;80,2;1,27182044887781;1,33416458852868;0,597014925373134;0,626984126984127;1,28593040847201;1,39613778705637;0,314285714285714;0,709677419354839;0,286783042394015;0,286783042394015;0,162094763092269;0,199501246882793;0,328358208955224;0,444444444444444;0;0,338500357085263;0,290322580645161
107;"Olympiacos Piraeus";"Panathinaikos OPAP Athens";225;99;11;30;41;11;6;5;4;3;25;22;101;25;48;10;33;19;22;1;225;93;12;36;48;20;5;12;3;4;22;25;108;20;43;11;25;20;31;83,8;1,18138424821002;1,10978520286396;0,493827160493827;0,536764705882353;1,0917512130569;1,13914747672709;0,234042553191489;0,714285714285714;0,13126491646778;0,238663484486874;0,0596658711217184;0,143198090692124;0,234567901234568;0,294117647058824;1;0,705844204865271;0,285714285714286
107;"Panathinaikos OPAP Athens";"Olympiacos Piraeus";225;93;12;36;48;20;5;12;3;4;22;25;108;20;43;11;25;20;31;0;225;99;11;30;41;11;6;5;4;3;25;22;101;25;48;10;33;19;22;80,4;1,15671641791045;1,23134328358209;0,536764705882353;0,493827160493827;1,13914747672709;1,0917512130569;0,285714285714286;0,765957446808511;0,248756218905473;0,13681592039801;0,149253731343284;0,0621890547263682;0,294117647058824;0,234567901234568;0;0,294155795134729;0,234042553191489
108;"Anadolu Efes Istanbul";"KIROLBET Baskonia Vitoria-Gasteiz";200;77;13;20;33;17;4;10;1;3;14;15;78;19;45;10;25;9;10;1;200;102;7;26;33;27;7;9;3;1;15;14;133;25;32;15;32;7;11;71;1,08450704225352;1,43661971830986;0,485714285714286;0,7421875;1,03494623655914;1,48169668797211;0,333333333333333;0,740740740740741;0,23943661971831;0,380281690140845;0,140845070422535;0,126760563380282;0,128571428571429;0,109375;0;0,0191457431781428;0,259259259259259
108;"KIROLBET Baskonia Vitoria-Gasteiz";"Anadolu Efes Istanbul";200;102;7;26;33;27;7;9;3;1;15;14;133;25;32;15;32;7;11;0;200;77;13;20;33;17;4;10;1;3;14;15;78;19;45;10;25;9;10;70,4;1,44886363636364;1,09375;0,7421875;0,485714285714286;1,48169668797211;1,03494623655914;0,259259259259259;0,666666666666667;0,383522727272727;0,241477272727273;0,127840909090909;0,142045454545455;0,109375;0,128571428571429;1;0,980854256821857;0,333333333333333
109;"ALBA Berlin";"Khimki Moscow Region";200;104;8;23;31;24;10;7;3;0;21;19;130;28;42;9;25;21;24;1;200;87;16;21;37;23;3;15;0;3;20;21;92;22;43;8;23;19;24;75,6;1,37566137566138;1,15079365079365;0,619402985074627;0,515151515151515;1,34089736977824;1,13636363636364;0,275862068965517;0,58974358974359;0,317460317460317;0,304232804232804;0,0925925925925926;0,198412698412698;0,313432835820896;0,287878787878788;1;0,924054770325002;0,41025641025641
109;"Khimki Moscow Region";"ALBA Berlin";200;87;16;21;37;23;3;15;0;3;20;21;92;22;43;8;23;19;24;0;200;104;8;23;31;24;10;7;3;0;21;19;130;28;42;9;25;21;24;74,6;1,16621983914209;1,3941018766756;0,515151515151515;0,619402985074627;1,13636363636364;1,34089736977824;0,41025641025641;0,724137931034483;0,308310991957105;0,32171581769437;0,201072386058981;0,0938337801608579;0,287878787878788;0,313432835820896;0;0,0759452296749979;0,275862068965517
11;"Crvena Zvezda mts Belgrade";"Fenerbahce Beko Istanbul";200;56;11;19;30;14;5;12;3;4;24;22;46;10;29;9;29;9;14;0;200;68;15;25;40;16;4;14;4;3;22;23;79;17;38;6;16;16;22;64,6;0,86687306501548;1,05263157894737;0,405172413793103;0,481481481481481;0,872817955112219;1,0678391959799;0,305555555555556;0,558823529411765;0,21671826625387;0,247678018575851;0,185758513931889;0,21671826625387;0,155172413793103;0,296296296296296;0;0,0619088369296419;0,441176470588235
11;"Fenerbahce Beko Istanbul";"Crvena Zvezda mts Belgrade";200;68;15;25;40;16;4;14;4;3;22;23;79;17;38;6;16;16;22;1;200;56;11;19;30;14;5;12;3;4;24;22;46;10;29;9;29;9;14;61,8;1,10032362459547;0,906148867313916;0,481481481481481;0,405172413793103;1,0678391959799;0,872817955112219;0,441176470588235;0,694444444444444;0,258899676375405;0,226537216828479;0,226537216828479;0,194174757281553;0,296296296296296;0,155172413793103;1;0,938091163070358;0,305555555555556
110;"Anadolu Efes Istanbul";"Fenerbahce Beko Istanbul";200;73;8;19;27;18;6;13;1;0;16;15;76;19;35;10;26;5;8;1;200;81;7;24;31;17;8;12;0;1;15;16;95;23;34;5;21;20;23;69,2;1,05491329479769;1,17052023121387;0,557377049180328;0,554545454545455;1,13143211407316;1,24385749385749;0,25;0,730769230769231;0,260115606936416;0,245664739884393;0,187861271676301;0,173410404624277;0,0819672131147541;0,363636363636364;0;0,189101959240414;0,269230769230769
110;"Fenerbahce Beko Istanbul";"Anadolu Efes Istanbul";200;81;7;24;31;17;8;12;0;1;15;16;95;23;34;5;21;20;23;0;200;73;8;19;27;18;6;13;1;0;16;15;76;19;35;10;26;5;8;69,2;1,17052023121387;1,05491329479769;0,554545454545455;0,557377049180328;1,24385749385749;1,13143211407316;0,269230769230769;0,75;0,245664739884393;0,260115606936416;0,173410404624277;0,187861271676301;0,363636363636364;0,0819672131147541;1;0,810898040759587;0,25
111;"Crvena Zvezda mts Belgrade";"KIROLBET Baskonia Vitoria-Gasteiz";200;72;10;23;33;14;6;16;5;3;21;19;73;15;34;10;23;12;16;0;200;64;15;23;38;14;8;14;3;5;19;21;66;15;35;5;22;19;26;69,4;1,03746397694524;0,922190201729107;0,526315789473684;0,394736842105263;1,12429731417864;0,935125657510228;0,303030303030303;0,605263157894737;0,201729106628242;0,201729106628242;0,230547550432277;0,201729106628242;0,210526315789474;0,333333333333333;1;0,838750779919324;0,394736842105263
111;"KIROLBET Baskonia Vitoria-Gasteiz";"Crvena Zvezda mts Belgrade";200;64;15;23;38;14;8;14;3;5;19;21;66;15;35;5;22;19;26;1;200;72;10;23;33;14;6;16;5;3;21;19;73;15;34;10;23;12;16;66,4;0,963855421686747;1,08433734939759;0,394736842105263;0,526315789473684;0,935125657510228;1,12429731417864;0,394736842105263;0,696969696969697;0,210843373493976;0,210843373493976;0,210843373493976;0,240963855421687;0,333333333333333;0,210526315789474;0;0,161249220080675;0,303030303030303
112;"CSKA Moscow";"Maccabi FOX Tel Aviv";200;90;5;20;25;17;9;10;2;1;19;18;99;20;34;12;27;14;17;1;200;80;18;26;44;16;8;17;1;2;18;19;86;20;40;8;29;16;20;72,8;1,23626373626374;1,0989010989011;0,622950819672131;0,463768115942029;1,3142523364486;1,02827763496144;0,161290322580645;0,526315789473684;0,233516483516484;0,21978021978022;0,137362637362637;0,233516483516484;0,229508196721311;0,231884057971014;1;0,838750779919324;0,473684210526316
112;"Maccabi FOX Tel Aviv";"CSKA Moscow";200;80;18;26;44;16;8;17;1;2;18;19;86;20;40;8;29;16;20;0;200;90;5;20;25;17;9;10;2;1;19;18;99;20;34;12;27;14;17;76;1,05263157894737;1,18421052631579;0,463768115942029;0,622950819672131;1,02827763496144;1,3142523364486;0,473684210526316;0,838709677419355;0,210526315789474;0,223684210526316;0,223684210526316;0,131578947368421;0,231884057971014;0,229508196721311;0;0,161249220080676;0,161290322580645
